ID,Name,Concepticon_ID,Concepticon_Gloss,Chinese_Gloss
2_sun,sun,1343,SUN,太阳
3_moon,moon,1313,MOON,月亮
4_star,star,1430,STAR,星星
5_cloud,cloud,1489,CLOUD,云
6_rainbow,rainbow,1733,RAINBOW,虹
7_thunder,thunder,1150,THUNDER,雷
8_lightning,lightning,1654,LIGHTNING,闪
9_wind,wind,960,WIND,风
10_rain,rain,658,RAIN (PRECIPITATION),雨
11_snow,snow,784,SNOW,雪
12_dew,dew,1977,DEW,露水
13_frost,frost,2034,FROST,霜
14_fire,fire,221,FIRE,火
15_ash,ash,646,ASH,灰
16_smoke,smoke,778,SMOKE (EXHAUST),烟
17_dust,dust,2,DUST,扬尘
18_ground,ground,2159,GROUND,地
19_mountain,mountain,639,MOUNTAIN,山
20_cavehole,cave/ hole,1667,HOLE,洞
21_river,river,3311,FLOWING BODY OF WATER,河
22_pond,pond,2035,POND,池塘
23_ditchgully,ditch (gully),2002,DITCH,沟
24_well,well,954,WELL,井
25_road,road,667,ROAD,路
26_paddyfield,paddy field,140,PADDY FIELD,水田
27_field,field,212,FIELD,旱地
28_stone,stone,857,STONE,石头
29_sand,sand,671,SAND,沙子
30_mud,mud,640,MUD,泥巴
31_water,water,948,WATER,水
32_iron,iron,621,IRON,铁
33_coal,coal,2658,COAL,煤
34_village,village,930,VILLAGE,村寨
35_market,market,633,MARKET,集市
36_bridge,bridge,1011,BRIDGE,桥
37_grave,grave,1773,GRAVE,坟墓
38_gardenplot,garden (plot),586,GARDEN,菜园
39_bambootwigfence,bamboo/twig fence,1690,FENCE,篱笆
40_humanbeing,human being,683,PERSON,人
41_hanchinese,Han Chinese,3373,HAN CHINESE,汉族
42_ethniclabel,ethnic label,3433,AUTONYM (OF PEOPLE),族称
43_child,child,2099,CHILD,小孩
44_oldman,old man,406,OLD MAN,老头儿
45_oldlady,old lady,907,OLD WOMAN,老太太
46_girl,girl,1646,GIRL,姑娘
47_ablindperson,a blind person,457,BLIND PERSON,瞎子
48_alameperson,a lame person,2322,LAME PERSON,跛子
49_adeafperson,a deaf person,458,DEAF PERSON,聋子
50_apersonwithapockmarkedface,a person with a pockmarked face,3366,PIMPLEFACE,麻子
51_amute,a mute,1666,MUTE,哑巴
52_orphan,orphan,1149,ORPHAN,孤儿
53_theonlyson,the only son,,,独子
54_guest,guest,1782,GUEST,客人
55_friend,friend,1325,FRIEND,朋友
56_carpenter,carpenter,1042,CARPENTER,木匠
57_thief,thief,1160,THIEF,贼
58_name,name,1405,NAME,名字
59_age,age,1789,AGE,年纪
60_shadow,shadow,1388,SHADE,影子
61_physicalstrength,physical strength,202,STRENGTH,力气
62_ghostspirit,ghost/ spirit,1175,GHOST,鬼
63_grandfather,grandfather,1383,GRANDFATHER,祖父
64_grandmother,grandmother,1496,GRANDMOTHER,祖母
65_father,father,1217,FATHER,父亲
66_mother,mother,1216,MOTHER,母亲
67_son,son,1620,SON,儿子
68_daughterinlaw,daughter-in-law,1057,DAUGHTER-IN-LAW,儿媳
69_daughter,daughter,1357,DAUGHTER,女儿
70_soninlaw,son-in-law,1056,SON-IN-LAW,女婿
71_grandson,grandson,1618,GRANDSON,孙子
72_elderbrother,elder brother,1759,OLDER BROTHER,哥哥
73_eldersister,elder sister,1758,OLDER SISTER,姐姐
74_youngerbrother,younger brother,1760,YOUNGER BROTHER,弟弟
75_youngersister,younger sister,1761,YOUNGER SISTER,妹妹
76_sisterinlawolderbrotherswife,sister-in-law (older brother's wife),2695,SISTER-IN-LAW (OLDER BROTHER'S WIFE),嫂子
77_maternalunclemothersbrother,maternal uncle (mother's brother),2692,MATERNAL UNCLE (MOTHER'S BROTHER),舅父
78_maternalauntmothersbrotherswife,maternal aunt (mother's brother's wife),2172,MATERNAL AUNT (WIFE OF MOTHER'S BROTHER),舅母
79_husband,husband,1200,HUSBAND,丈夫
80_wife,wife,1199,WIFE,妻子
81_body,body,1480,BODY,身体
82_head,head,1256,HEAD,头
83_hair,hair,2648,HAIR (HEAD),头发
84_braidplait,braid/ plait,333,PLAIT,辫子
85_eyebrow,eyebrow,1173,EYEBROW,眉毛
86_eye,eye,1248,EYE,眼睛
87_nose,nose,1221,NOSE,鼻子
88_ear,ear,1247,EAR,耳朵
89_face,face,1560,FACE,脸
90_mouth,mouth,674,MOUTH,嘴，口
91_beardmoustachegoatee,beard/ moustache/ goatee,678,BEARD,胡须
92_chin,chin,1510,CHIN,下巴
93_neck,neck,1333,NECK,脖子
94_shoulder,shoulder,1482,SHOULDER,肩膀
96_chest,chest,1592,CHEST,胸脯
97_belly,belly,1251,BELLY,肚子
98_navel,navel,1838,NAVEL,肚脐
99_waist,waist,1681,WAIST,腰
100_buttocks,buttocks,834,BUTTOCKS,屁股
101_anaus,anaus,1935,ANUS,肛门
102_leg,leg,1297,LEG,腿
103_foot,foot,1301,FOOT,脚
104_hand,hand,1277,HAND,手
105_finger,finger,1303,FINGER,手指
106_nail,nail,1258,FINGERNAIL,指甲
107_fist,fist,1473,FIST,拳
108_skin,skin,763,SKIN,皮肤
109_tendon,tendon,1137,TENDON,筋
110_brains,brains,1583,BRAIN,脑髓
111_bone,bone,1394,BONE,骨头
112_tooth,tooth,1380,TOOTH,牙齿
113_tongue,tongue,1205,TONGUE,舌
114_throat,throat,1346,THROAT,喉咙
115_lung,lung,688,LUNG,肺
116_heart,heart,1223,HEART,心脏
117_liver,liver,1224,LIVER,肝
118_stomach,stomach,819,STOMACH,胃
119_gallbladder,gall bladder,3372,GALL BLADDER,胆
120_blood,blood,946,BLOOD,血
121_milk,milk,635,MILK,奶汁
122_excrement,excrement,675,FAECES (EXCREMENT),屎
123_intestine,intestine,1991,INTESTINES,肠子
124_urine,urine,1142,URINE,尿
125_sweat,sweat,2458,PERSPIRE OR SWEAT,汗
126_saliva,saliva,1503,SALIVA,口水
127_nasalmucus,nasal mucus,208,NASAL MUCUS (SNOT),鼻涕
128_tears,tears,1651,TEAR (OF EYE),眼泪
129_pus,pus,1808,PUS,脓
130_wildcattlebovine,wild cattle (bovine),3044,BOVINE,牛
131_buffalo,buffalo,2516,WATER BUFFALO,水牛
132_cattlebostaurus,cattle (bos taurus),1153,CATTLE,黄牛
133_cow,cow,1007,COW,母牛
134_bull,bull,1008,BULL,公牛
