Language_ID	Form	Tokens	Meaning	Position	Type	Gloss	ShortName	EDICTOR	Remark
EasternLuobuohe	ŋkho³³	ⁿkʰ o ³³	auto			CROOKED		CROOKED	弯
EasternLuobuohe	ŋa²⁴	ŋ a ²⁴	auto						强
EasternLuobuohe	qɛ²⁴	q ɛ ²⁴	auto			SCOLD		SCOLD	骂
EasternLuobuohe	ʁ²⁴	ʁ ²⁴	auto			DRUNK		DRUNK	醉
EasternLuobuohe	ŋqhen²⁴	ⁿqʰ e n ²⁴	auto			ROAST (SOMETHING)		ROAST (SOMETHING)	烤
EasternLuobuohe	χe³³	χ e ³³	auto			ROB (VERB)		ROB (VERB)	抢
EasternLuobuohe	qwhen⁵⁵	qʷ h e n ⁵⁵	auto						盘；absent in the raw data.
EasternLuobuohe	ŋqwaŋ²⁴	ⁿq w a ŋ ²⁴	auto			LIGHT (RADIATION)		LIGHT (RADIATION)	光
EasternLuobuohe	χwa³³	χ w a ³³	auto						女阴
EasternLuobuohe	qhlei³¹	qʰ l ei ³¹	auto			UNDRESS		UNDRESS	"解（衣扣）; inconsistent"
EasternLuobuohe	ŋqlaŋ³¹	ⁿq l a ŋ ³¹	auto			SLEEP		SLEEP	睡觉
EasternLuobuohe	qɹɛ³³	q ɹ ɛ ³³	auto						割
EasternLuobuohe	ʁɹɛ⁵⁵	ʁ ɹ ɛ ⁵⁵	auto						头旋儿；absent in the raw data.
EasternLuobuohe	ndza⁵⁵	ⁿdz a ⁵⁵	auto			THIN (SLIM)		THIN (SLIM)	瘦
EasternLuobuohe	te³¹	t e ³¹	auto						答
EasternLuobuohe	zuŋ²⁴	z u ŋ ²⁴	auto			SEVEN		SEVEN	七
EasternLuobuohe	ntha⁵⁵	ⁿtʰ a  ⁵⁵	auto			UNTIE		UNTIE	解开
EasternLuobuohe	ʔnen³³	ˀn e n ³³	auto			PRESS		PRESS	压
EasternLuobuohe	ʔlaŋ²⁴	ˀl a ŋ ²⁴	auto			EGG (CLASSIFIER)		EGG (CLASSIFIER)	个
EasternLuobuohe	laŋ²⁴	l a ŋ ²⁴	auto			LOOK		LOOK	看
EasternLuobuohe	tɕhi³¹	tɕʰ i ³¹	auto			SWEEP		SWEEP	扫
EasternLuobuohe	ȵtɕi²⁴	ⁿtɕ i ²⁴	auto			GO UP (ASCEND)		GO UP (ASCEND)	爬（山）
EasternLuobuohe	ȵdʑu³¹	ⁿdʑ u ³¹	auto			MOUTH		MOUTH	嘴
EasternLuobuohe	 ȵin²⁴	ȵ i n ²⁴	auto			STEAL		STEAL	偷
EasternLuobuohe	ɕo³¹	ɕ o ³¹	auto						学
EasternLuobuohe	ʈhu²⁴	ʈʰ u ²⁴	auto						拔（草）
EasternLuobuohe	ɳʈu³¹	ⁿʈ u ³¹	auto						打
EasternLuobuohe	ɳɖa⁵⁵	ⁿɖ a ⁵⁵	auto			DRUM		DRUM	鼓
EasternLuobuohe	ʂei³¹	ʂ ei ³¹	auto			SIEVE (TOOL)		SIEVE (TOOL)	筛子
EasternLuobuohe	kho³³	kʰ o ³³	auto			PICK UP		PICK UP	捡
EasternLuobuohe	ŋku³¹	ⁿk u ³¹	auto			GIRL		GIRL	姑娘
EasternLuobuohe	ŋɡo³³	ⁿg o ³³	auto			PAIR (CLASSIFIER)		PAIR (CLASSIFIER)	双
EasternLuobuohe	ʔju⁵⁵	ˀj u ⁵⁵	auto						守
EasternLuobuohe	qhei³¹	qʰ ei ³¹	auto			TIE		TIE	捆
EasternLuobuohe	ŋɡa²⁴	ⁿɡ a ²⁴	auto						价钱；absent in the raw data.
EasternLuobuohe	ŋɢa⁵⁵	ⁿɢ a ⁵⁵	auto			GO DOWN (DESCEND)		GO DOWN (DESCEND)	下
EasternLuobuohe	qwa²⁴	q w a ²⁴	auto			CROSS		CROSS	过
EasternLuobuohe	ʁwen³¹	ʁ w e n ³¹	auto			HANG UP		HANG UP	挂
EasternLuobuohe	ŋɢwaŋ³¹	ⁿɢ w a ŋ ³¹	auto			DAY		DAY	天空
EasternLuobuohe	qla³¹	q l a ³¹	auto						骗
EasternLuobuohe	ʁlei³¹	ʁ l ei ³¹	auto			PEACH		PEACH	桃
EasternLuobuohe	ŋɢla²⁴	ⁿɢ l a ²⁴	auto						（衣）破
EasternLuobuohe	qhɹa⁵⁵	qʰ ʁ a ⁵⁵	auto			GINGER		GINGER	姜
EasternLuobuohe	ʔuŋ³¹	ʔ u ŋ ³¹	auto			WATER		WATER	水
EasternLuobuohe	wei⁵⁵	w ei ⁵⁵	auto			HAND		HAND	手
EasternLuobuohe	ɬa²⁴	ɬ a ²⁴	auto			MONTH		MONTH	月
EasternLuobuohe	tshy⁵⁵	tsʰ y ⁵⁵	auto			ASH		ASH	灰
WesternLuobuohe	pə⁰⁵	p ə ⁰/⁵	syn	^	Affix		pə	-:Affix/pə	
WesternLuobuohe	tə⁰²	t ə ⁰/²	syn	^	Affix	adj	tə	-:adj/tə	appears before adj.
WesternLuobuohe	qo⁰⁵	q o ⁰/⁵	syn	^	Affix		qo	-:Affix/qo	
WesternLuobuohe	ʔə⁰²	ʔ ə ⁰/²	syn	^	Affix		ʔə	-:Affix/ʔə	
WesternLuobuohe	ʔə⁰⁵	ʔ ə ⁰/⁵	syn	^	Affix	quantifier	ʔə⁰⁵	-:quantifier/ʔə⁰⁵	"appears before quantifier

"
WesternLuobuohe	pi⁵⁵	p i ⁵⁵	auto			HOUSE		HOUSE	房子
WesternLuobuohe	ven³¹	v e n ³¹	auto			FLOWER		FLOWER	花
WesternLuobuohe	mphoŋ³¹	ⁿpʰ o ŋ ³¹	auto						灰色
WesternLuobuohe	ʔmin³¹	ˀm i n ³¹	auto						用
WesternLuobuohe	mu⁵⁵	m u ⁵⁵	auto			GO		GO	去
WesternLuobuohe	ʔwe³¹	ʔ w e ³¹	auto						鸡冠
WesternLuobuohe	wen³¹	ʁ w e n ³¹	auto						"黄; inconsistent"
WesternLuobuohe	vjoŋ³¹	v j o ŋ ³¹	auto			FLAT		FLAT	平
WesternLuobuohe	phɑ³⁵	pʰ ɑ ³⁵	auto			SPLIT		SPLIT	劈
WesternLuobuohe	mpi³⁵	ⁿp i ³⁵	auto			PIG		PIG	猪
WesternLuobuohe	mby³⁵	ⁿb y ⁵⁵	auto			NOSE		NOSE	鼻
WesternLuobuohe	m̥ø³¹	m̥ ø ³¹	auto			AUTONYM (OF PEOPLE)		AUTONYM (OF PEOPLE)	苗族
WesternLuobuohe	fu³¹	f u ³¹	auto						壶
WesternLuobuohe	pje⁵⁵	p j e ⁵⁵	auto			FRUIT		FRUIT	果子
WesternLuobuohe	mpji³¹	ⁿp j i ³¹	auto						泻
WesternLuobuohe	mpjhe³¹	 ⁿpʰ j e ⁵⁵	auto			DAUGHTER		DAUGHTER	"女儿; inconsistent"
WesternLuobuohe	pləu³​¹	p l əu ³¹	auto			HAIR		HAIR	毛
WesternLuobuohe	vlo³¹	v l o ³¹	auto						魂
WesternLuobuohe	mphlæ³¹	ⁿpʰ l æ ³¹	auto						戒指
WesternLuobuohe	tsoŋ³⁵	ts o ŋ ³⁵	auto						"释放; multiple meaning. defecate;loose;pee;put out to pasture;spin (into yarn)"
WesternLuobuohe	zu³⁵	z u ³⁵	auto			CHISEL		CHISEL	凿
WesternLuobuohe	ntshe³¹	ⁿtsʰ e ³¹	auto			CLEAN；PURE		CLEAN；PURE	清；PURE；CLEAN
WesternLuobuohe	su⁵⁵	s u ⁵⁵	auto			YARN		YARN	线
WesternLuobuohe	the³¹	tʰ e ³¹	auto			LADDER		LADDER	梯
WesternLuobuohe	ntu³¹	ⁿt u ³¹	auto			CLOTH		CLOTH	布
WesternLuobuohe	nda³⁵	ⁿd a ³⁵	auto						"麻; absent"
WesternLuobuohe	n̥ɑ³¹	n̥ ɑ ³¹	auto			SUN		SUN	太阳
WesternLuobuohe	ʔlu⁵⁵	ˀl u ⁵⁵	auto			DIVIDE		DIVIDE	折断
WesternLuobuohe	la³¹	l a ³¹	auto			MUD		MUD	泥
WesternLuobuohe	ʈhoŋ³¹	ʈʰ o ŋ ³¹	auto						铳
WesternLuobuohe	nʈu³¹	ⁿʈ u ³¹	auto			HIT		HIT	"打; inconsistent"
WesternLuobuohe	nɖu⁵⁵	ⁿɖ u ⁵⁵	auto						"浑; absent"
WesternLuobuohe	tɕhoŋ³¹	tɕʰ o ŋ ³¹	auto			QUILT		QUILT	穿（针）
WesternLuobuohe	ȵtɕo³¹	ⁿtɕ o ³¹	auto						"啄; peck (birds); dig;woodpecker"
WesternLuobuohe	ȵdʑo³¹	ⁿdʑ o ³¹	auto			MOUTH		MOUTH	嘴
WesternLuobuohe	ȵ̥o³¹	ȵ̥ o ³¹	auto			BAMBOO		BAMBOO	竹子
WesternLuobuohe	ʔʑin³⁵	ˀʑ i n ³⁵	auto			FLY (MOVE THROUGH AIR)		FLY (MOVE THROUGH AIR)	飞
WesternLuobuohe	kɑŋ³¹	k ɑ ŋ ³¹	auto			BOILED WATER		BOILED WATER	烫
WesternLuobuohe	ɥi⁵⁵	j i ⁵⁵	auto						"窝; inconsistent"
WesternLuobuohe	ŋkho³¹	ⁿkʰ o ³³	auto			DUST		DUST	"扬尘;[tone sandhi]"
WesternLuobuohe	ŋɑ³¹	ŋ ɑ ³¹	auto			BITTER		BITTER	苦
WesternLuobuohe	ɥ̥i⁵⁵	ɥ̥ i ⁵⁵	auto						"吹（口哨）; absent"
WesternLuobuohe	qhoŋ⁵⁵	qʰ o ŋ ⁵⁵	auto			HOLE		HOLE	"洞; inconsistent"
WesternLuobuohe	ŋqɑ³⁵	ⁿq ɑ ³⁵	auto						"价; absent"
WesternLuobuohe	ŋɢɑ⁵⁵	ⁿɢ ɑ ⁵⁵	auto			GO DOWN (DESCEND)		GO DOWN (DESCEND)	下
WesternLuobuohe	qwɑŋ³¹	q w ɑ ŋ ³¹	auto			RICH		RICH	富
WesternLuobuohe	ʁwaŋ³¹	ʁ w a ŋ ³¹	auto						"芦笙; absent"
WesternLuobuohe	χwen³¹	χ w e n ³¹	auto						瓜子
WesternLuobuohe	mbjoŋ³¹	ⁿb j o ŋ ³¹	auto						"疯; absent"
WesternLuobuohe	phlau³¹	pʰ l au ³¹	auto						"揭; absent"
WesternLuobuohe	mpla³⁵	ⁿp l a ³⁵	auto						溢
WesternLuobuohe	mbloŋ³¹	ⁿb l o ŋ ³¹	auto			LEAF		LEAF	叶
WesternLuobuohe	tshu⁵⁵	tsʰ u ⁵⁵	auto			ASH		ASH	灰
WesternLuobuohe	ntse³¹	ⁿts e ³⁵	auto			POINTED		POINTED	"尖儿;[tone sandhi]"
WesternLuobuohe	ndsaŋ⁵⁵	ⁿdz ɑ ŋ ⁵⁵	auto			CHOP		CHOP	"剁; inconsistent"
WesternLuobuohe	to³¹	t o ³¹	auto						点
WesternLuobuohe	ðo⁵⁵	ð o ⁵⁵	auto			FIRE		FIRE	火
WesternLuobuohe	nthɑ³⁵	ⁿtʰ ɑ ³⁵	auto			RUN		RUN	跑
WesternLuobuohe	ʔnen³¹	ˀn e n ³¹	auto			SNAKE		SNAKE	蛇
WesternLuobuohe	no³⁵	n o ³⁵	auto			RAIN (PRECIPITATION)		RAIN (PRECIPITATION)	雨
WesternLuobuohe	ɬi³⁵	ɬ i ³⁵	auto			ROPE		ROPE	绳子
WesternLuobuohe	ʈu⁵⁵	ʈ u ⁵⁵	auto						"烧火; absent"
WesternLuobuohe	ʐoŋ³¹	ʐ o ŋ ³¹	auto			DOOR		DOOR	门
WesternLuobuohe	nʈhoŋ³¹	ⁿʈʰ o ŋ ³¹	auto						裹腿
WesternLuobuohe	tɕi⁵⁵	tɕ i ⁵⁵	auto			ROAD		ROAD	路
WesternLuobuohe	ʑo⁵⁵	ʑ o ⁵⁵	auto						"黄牛; absent"
WesternLuobuohe	ȵtɕhɑ⁵⁵	ⁿtɕʰ ɑ ⁵⁵	auto						"倾倒; absent"
WesternLuobuohe	ʔȵoŋ³¹	ˀȵ o ŋ ³¹	auto			SIT		SIT	坐
WesternLuobuohe	ȵɑ³⁵	ȵ ɑ ³⁵	auto			COOKED RICE		COOKED RICE	饭
WesternLuobuohe	ɕɑ⁵⁵	ɕ ɑ ⁵⁵	auto			MANY		MANY	多
WesternLuobuohe	kho³¹	kʰ o ³¹	auto			PICK UP		PICK UP	捡
WesternLuobuohe	ŋkɑ⁵⁵	ⁿk ɑ ⁵⁵	auto						"粑粑; absent"
WesternLuobuohe	ŋɡoŋ³¹	ⁿg o ŋ ³¹	auto			BOAT		BOAT	船
WesternLuobuohe	ʔjen³⁵	ˀj e n ³⁵	auto			GOOD		GOOD	好
WesternLuobuohe	qɑ⁵⁵	q ɑ ⁵⁵	auto			FAECES (EXCREMENT)		FAECES (EXCREMENT)	屎
WesternLuobuohe	ʁɑ³¹	ʁ ɑ ³¹	auto			GARLIC		GARLIC	蒜
WesternLuobuohe	ŋqhen³¹	ⁿqʰ e n ³¹	auto			THIRSTY		THIRSTY	"渴; inconsistent"
WesternLuobuohe	χu⁵⁵	x u ⁵⁵	auto			HEAD		HEAD	"头; inconsistent"
WesternLuobuohe	qwhɑŋ³¹	qʰ w ɑ ŋ ³¹	auto			WIDE		WIDE	"宽; inconsistent"
WesternLuobuohe	ŋɢwɑŋ³¹	ⁿɢ w ɑ ŋ ³¹	auto			DAY (24 HOURS)		DAY (24 HOURS)	天空
WesternLuobuohe	qlo³¹	q l o ³¹	auto			WHITE		WHITE	白
WesternLuobuohe	qʰle³¹	qʰ l e ³¹	auto			UNDRESS		UNDRESS	脱（衣）
WesternLuobuohe	ŋɢloŋ³¹	ⁿɢ l o ŋ ³¹	auto						"竹竿; absent"
WesternLuobuohe	ʁlei³¹	ʁ l ei ³¹	auto			PEACH		PEACH	桃
WesternLuobuohe	ʔoŋ³¹	ʔ o ŋ ³¹	auto		WATER			WATER	水
Chuanqiandian	qa⁰³	q a ⁰/³	syn		Affix		qa	-:Affix/qa	appears before verbal 狀詞
Chuanqiandian	tsi⁰³	ts i ⁰/³	syn	$	Affix		tsi	-:Affix/tsi	appears in Sinitic borrowing (子)
Chuanqiandian	sa³³	s a ³³	syn	^	Affix		sa	-:Affix/sa	appears in Sinitic borrowing
Chuanqiandian	ti³¹	t i ³¹	syn	^	Affix		ti	-:Affix/ti	appears in Sinitic borrowing
Chuanqiandian	la⁵³	l a ⁵³	auto			RED		RED	红
Chuanqiandian	pou³³	p ɔ ³³	auto						"屁;absent"
Chuanqiandian	mpua⁴⁴	ⁿp u/w a ⁴⁴	auto			PIG		PIG	猪
Chuanqiandian	mau⁵³	m au ⁴³	auto			PAINFUL		PAINFUL	疼
Chuanqiandian	vaŋ³¹	v a ŋ ³¹	auto			GARDEN		GARDEN	园
Chuanqiandian	plaŋ⁵³	p l a ŋ ⁴³	auto			BELLY		BELLY	"肚子;inconsistent"
Chuanqiandian	mploŋ³¹	ⁿp l o ŋ ³¹	auto			LEAF		LEAF	叶子
Chuanqiandian	tsi⁵⁵	ts i ⁵⁵	auto			FRUIT		FRUIT	果子
Chuanqiandian	ntsaŋ⁴⁴	ⁿts a ŋ ⁴⁴	auto						"坟;absent"
Chuanqiandian	su⁵³	s o ⁴³	auto			LIGHTNING		LIGHTNING	"雷; inconsistent"
Chuanqiandian	then⁴⁴	tʰ e n ⁴⁴	auto						"炭;absent"
Chuanqiandian	nthei⁴⁴	ⁿtʰ ei ⁴⁴	auto						"吵;absent"
Chuanqiandian	ɬi⁴⁴	ɬ i ⁴⁴	auto			MOON		MOON	"月亮;multiple"
Chuanqiandian	tɬe³¹	tɬ e ³¹	auto			WATER		WATER	水
Chuanqiandian	ntɬua¹³	ⁿʈ u/w a ¹³	auto						"（衣）破;inconsistent"
Chuanqiandian	ʈou⁴⁴	ʈ ɔ ⁴⁴	auto			SIX		SIX	六
Chuanqiandian	nʈua²²	ⁿʈ u/w a ²¹	auto			DRUM		DRUM	"鼓;inconsistent"
Chuanqiandian	tʂi⁵³	tʂ i ⁴³	auto			FIVE		FIVE	"五;inconsistent"
Chuanqiandian	ntʂi³³	ⁿʈʂ i ³³	auto			COMB (VERB)		COMB (VERB)	"梳;inconsistent"
Chuanqiandian	ʂa⁵³	ʂ a ⁴³	auto			LIVER		LIVER	"肝;inconsistent"
Chuanqiandian	phua⁴⁴	pʰ u/w a ⁴⁴	auto			SPLIT		SPLIT	"劈;inconsistent"
Chuanqiandian	mphoŋ⁴⁴	ⁿpʰ o ŋ ⁴⁴	auto						"撒;absent"
Chuanqiandian	fu³³	f u ³³	auto			PERSPIRE OR SWEAT		PERSPIRE OR SWEAT	汗
Chuanqiandian	wua²²	v u/w a ²¹	auto			TILE		TILE	"瓦;inconsistent"
Chuanqiandian	phlo⁴⁴	pʰ l o ⁴⁴	auto			 FACE		 FACE	脸
Chuanqiandian	mphlai⁵³	ⁿpʰ l ai ⁵³	auto						"戒指;absent"
Chuanqiandian	tshau⁵³	tsʰ au ⁵³	auto						"阉;absent"
Chuanqiandian	ntshai³³	ⁿtsʰ ai ³³	auto			DAUGHTER		DAUGHTER	女儿
Chuanqiandian	teu⁵⁵	t eu ⁴⁴	auto			SKIN		SKIN	皮
Chuanqiandian	nteɯ⁵⁵	ⁿt eu ⁵⁵	auto			BOOK		BOOK	书
Chuanqiandian	no⁵³	n̥ o ⁴³	auto			SUN		SUN	"太阳;inconsistent"
Chuanqiandian	ly²²	l u ²¹	auto			AUBERGINE		AUBERGINE	"茄子;inconsistent"
Chuanqiandian	tɬha⁴⁴	tɬʰ a ⁴⁴	auto			JUMP		JUMP	跳
Chuanqiandian	ʈhou⁵³	ʈʰ ɔ ⁵³	auto						"热（菜）;inconsistent"
Chuanqiandian	nʈha⁵⁵	tʂ au ⁵⁵	auto						"找;inconsistent"
Chuanqiandian	tʂhau⁴⁴	ʈʂʰ au ⁴⁴	auto			CLOTHES		CLOTHES	衣
Chuanqiandian	ntʂhai⁴⁴	ⁿʈʂʰ ai ⁴⁴	auto			FEAR (BE AFRAID)		FEAR (BE AFRAID)	怕
Chuanqiandian	ʐi²²	ʐ i ²¹	auto			URINE		URINE	"尿;inconsistent"
Chuanqiandian	tɕi⁵⁵	tɕ e ⁵⁵	auto			BODY		BODY	"身体;inconsistent"
Chuanqiandian	ȵtɕi⁴⁴	ⁿtɕ e ⁴⁴	auto			GO UP (ASCEND)		GO UP (ASCEND)	"上（楼）;inconsistent"
Chuanqiandian	ȵo³¹	ȵ o ³¹	auto			COW		COW	"牛; BEEF;BULL"
Chuanqiandian	ʑau¹³	ʑ au ¹³	auto			BE		BE	是
Chuanqiandian	khou⁴⁴	kʰ ɔ ⁴⁴	auto			SHOE		SHOE	鞋
Chuanqiandian	ŋkheu⁵³	ⁿkʰ eu ⁴³	auto			DUST		DUST	"扬尘;inconsistent"
Chuanqiandian	qua⁵⁵	q u/w a ⁵⁵	auto			FAECES (EXCREMENT)		FAECES (EXCREMENT)	屎
Chuanqiandian	ŋqa¹³	ⁿq ai ³¹	auto			MEAT		MEAT	"肉;inconsistent"
Chuanqiandian	ʔaŋ⁵⁵	ʔ a ŋ ⁵⁵	auto			MUD		MUD	泥
Chuanqiandian	tɕhi⁵³	tɕʰ e ⁴³	auto			SWEEP		SWEEP	"扫;inconsistent"
Chuanqiandian	ȵtɕhaŋ⁴⁴	ⁿtɕʰ a ŋ ⁴⁴	auto						"震动;absent"
Chuanqiandian	ɕaŋ⁵³	ɕaŋ⁴³	auto			FRAGRANT		FRAGRANT	香
Chuanqiandian	kaŋ⁵³	k a ŋ ⁴³	auto			INSECT		INSECT	虫
Chuanqiandian	ŋkeu³¹	ⁿt a ŋ ⁴³	auto			WASP		WASP	"马蜂;inconsistent"
Chuanqiandian	ŋo¹³	ŋ o ²¹	auto			GOOSE		GOOSE	鹅
Chuanqiandian	qhua⁴⁴	qʰ u/w a ⁴⁴	auto			GUEST		GUEST	"客;inconsistent"
Chuanqiandian	ŋqhe³³	ⁿqʰ e ³³	auto			THIRSTY		THIRSTY	渴
Chuanqiandian	hua⁵³	ʔ o ŋ ⁴⁴	auto			CLOUD		CLOUD	云
CentralGuizhouChuanqiandian	tə⁰²	t ə ⁰/²	syn	^	Affix		tə	-:Affix/tə	noun or adj.
CentralGuizhouChuanqiandian	qa⁰²	q a ⁰/²	syn	^	Affix		qa	-:Affix/qa	noun or adj.
CentralGuizhouChuanqiandian	la⁰²	l a ⁰/²	syn	^	Affix		l a	-:Affix/la	order
CentralGuizhouChuanqiandian	li⁰²	l i ⁰/²	syn	^	Affix		l a	-:Affix/la	order. la的變形
CentralGuizhouChuanqiandian	lɛ⁰²	l ɛ ⁰/²	syn	^	Affix		l a	-:Affix/la	order. la的變形
CentralGuizhouChuanqiandian	lo⁰²	l o ⁰/²	syn	^	Affix		l a	-:Affix/la	order. la的變形
