LEXEME,REPLACEMENT,COMMENT
̩ȵtɕi²⁴,ȵ̩tɕi²⁴,typo correction
nsʰõ¹³,ⁿsʰõ¹³,
nsʰi²⁴,ⁿsʰi²⁴,
ȵaŋ¹³ ʔi³⁵,ȵaŋ¹³ʔi³⁵,correct space
kjan kau¹³,kjankau¹³,correct space
guːŋ doːm³⁵,guːŋdoːm³⁵,correct space
nen ʔnoŋ⁵⁵,nenʔnoŋ⁵⁵,correct space
naːŋ dzuŋ³³,naːŋdzuŋ³³,correct space
