Language_ID	Name	Tone	CategoryInSource	Category	Note
NorthernQiandong	Qiandong, North	³⁵	阴上	阴上	
NorthernQiandong	Qiandong, North	¹¹	阳上	阳上	
NorthernQiandong	Qiandong, North	⁴⁴	阴去	阴去	
NorthernQiandong	Qiandong, North	²³	阳去	阳去	
NorthernQiandong	Qiandong, North	¹³	阴入.*去	阴入	*去漢語借詞
NorthernQiandong	Qiandong, North	³¹	阳入.*阳平	阳入	*阳平漢語借詞
NorthernQiandong	Qiandong, North	⁵⁵	*不明	0	不确定类别
Numao	Numao	³³	阴平.*阴平	阴平	*阴平漢語借詞
Numao	Numao	⁵⁵	阳平	阳平	
Numao	Numao	¹³	阴上.*去	阴上	*去漢語借詞
Numao	Numao	⁵³	阳上.*上	阳上	*上漢語借詞
Numao	Numao	⁴⁴	阴去.阴入	阴去.阴入	
Numao	Numao	³¹	阳去.*阳平.*入	阳去	*阳平.*入漢語借詞
Numao	Numao	⁴²	阳入	阳入	
Nunu	Nunu	³³	阴平	阴平	
Nunu	Nunu	⁴²	阳平	阳平	
Nunu	Nunu	³⁵	阴上	阴上	塞音尾³⁵為壯語借詞
Nunu	Nunu	⁴⁴	阳上	阳上	塞音尾⁴⁴為壯語借詞
Nunu	Nunu	¹³	阴去	阴去	
Nunu	Nunu	²²	阳去.阴入.阳入	阳去.阴入.阳入	
Nunu	Nunu	³¹	*	*	只拼漢語借詞
She	She	²²	阴平	阴平	
She	She	³¹	阳平.*阳平	阳平	*阳平漢語借詞
She	She	⁵⁵	阴上.*阴平	阴上	*阴平漢語借詞
She	She	⁵³	阳上.阳去.*上	阳上.阳去	*上漢語借詞
She	She	³³	阴去	阴去	
She	She	³⁵	阳入.阴入.*去	阳入.阴入	*去漢語借詞
SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	³²	阴平甲	阴平	
SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	²²	阴平乙	阴平	
SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	⁵³	阳平	阳平	
SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	⁴²	阴上甲.*上	阴上	*上漢語借詞
SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	²³²	阴上乙	阴上	
SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	¹¹	阳上	阳上	
SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	⁵⁵	阴去甲.*阴平	阴去	*阴平漢語借詞
SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	³⁵	阴去乙	阴去	
SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	¹³	阳去.阴入乙.*去	阳去.阴入	*去漢語借詞
SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	⁴⁴	阴入甲	阴入	
SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	²¹	阳入.*阳平	阳入	*阳平漢語借詞
SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	³³	*不明	0	
SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	¹³¹	*不明	0	
SouthernQiandong	Qiandong, Southern	¹³	阴平	阴平	
SouthernQiandong	Qiandong, Southern	³¹	阳平.*阳平.*入	阳平	*阳平.*入漢語借詞
SouthernQiandong	Qiandong, Southern	⁵³	阴上.*上	阴上	*上漢語借詞
SouthernQiandong	Qiandong, Southern	²⁴¹	阳上	阳上	
SouthernQiandong	Qiandong, Southern	⁴⁴	阴去.*阴平	阴去	*阴平漢語借詞
SouthernQiandong	Qiandong, Southern	²²	阳去	阳去	
SouthernQiandong	Qiandong, Southern	³⁵	阴入.*去	阴入	*去漢語借詞
SouthernQiandong	Qiandong, Southern	²⁴	阳入	阳入	
WesternBaheng	Baheng, Western	³⁵	阴平	阴平	
WesternBaheng	Baheng, Western	³³	阳平	阳平	
WesternBaheng	Baheng, Western	³¹	阴上	阴上	
WesternBaheng	Baheng, Western	¹¹	阳上	阳上	
WesternBaheng	Baheng, Western	⁵⁵	阴去	阴去	
WesternBaheng	Baheng, Western	⁴⁴	阳去	阳去	
WesternBaheng	Baheng, Western	⁵³	阴入	阴入	
WesternBaheng	Baheng, Western	⁴²	阳入	阳入	
WesternBaheng	Baheng, Western	⁰³	轻声	轻声	
WesternLuobuohe	Luobuohe, Western	³¹	平.入.*阳平	阴平.阳平.阴入.阳入	*阳平漢語借詞
WesternLuobuohe	Luobuohe, Western	⁵⁵	上.*阴平.*上	阴上.阳上	*阴平.*上漢語借詞
WesternLuobuohe	Luobuohe, Western	³⁵	去.*去	阴去.阳去	*去漢語借詞
WesternLuobuohe	Luobuohe, Western	⁰²	轻声	轻声	
WesternLuobuohe	Luobuohe, Western	⁰⁵	轻声	轻声	
WesternLuobuohe	Luobuohe, Western	⁴⁴	*不明	0	
WesternLuobuohe	Luobuohe, Western	¹¹	*不明	0	
WesternLuobuohe	Luobuohe, Western	³³	*不明	0	
WesternQiandong	Qiandong, Western	⁴⁴	阴平	阴平	
WesternQiandong	Qiandong, Western	⁵⁵	阳平.*上	阳平	*上漢語借詞
WesternQiandong	Qiandong, Western	¹³	阴上.*去	阴上	*去漢語借詞
WesternQiandong	Qiandong, Western	²¹	阳上.*阳平	阳上	*阳平漢語借詞
WesternQiandong	Qiandong, Western	³³	阴去.*阴平	阴去	*阴平漢語借詞
WesternQiandong	Qiandong, Western	²²	阳去	阳去	
WesternQiandong	Qiandong, Western	¹¹	阴入	阴入	
WesternQiandong	Qiandong, Western	⁵³	阳入	阳入	
WesternXiangxi	Xiangxi, Western	³⁵	阴平	阴平	
WesternXiangxi	Xiangxi, Western	³¹	阳平.*阳平	阳平	*阳平漢語借詞
WesternXiangxi	Xiangxi, Western	⁴⁴	阴上.阴入.*阴平	阴上.阴入	*阴平漢語借詞
WesternXiangxi	Xiangxi, Western	³³	阳上.阳入	阳上.阳入	
WesternXiangxi	Xiangxi, Western	⁵⁵¹	阴去	阴去	
WesternXiangxi	Xiangxi, Western	²⁴¹	阳去	阳去	
WesternXiangxi	Xiangxi, Western	⁵³	*上	*上	必定是漢語借詞
WesternXiangxi	Xiangxi, Western	¹³	*去	*去	必定是漢語借詞
WesternXiangxi	Xiangxi, Western	⁴²	*不明	0	不确定类别
WesternXiangxi	Xiangxi, Western	⁵⁵	*不明	0	不确定类别
WesternXiangxi	Xiangxi, Western	²²	*不明	0	不确定类别
WesternXiangxi	Xiangxi, Western	³²	*不明	0	
Yuonuo	Yuonuo	⁴⁴	阴平	阴平	
Yuonuo	Yuonuo	¹³	阳平	阳平	
Yuonuo	Yuonuo	³³	阴上	阴上	
Yuonuo	Yuonuo	³²	阳上.阳去	阳上.阳去	
Yuonuo	Yuonuo	⁵⁴	阴去	阴去	
Yuonuo	Yuonuo	⁵⁵	阴入	阴入	
Yuonuo	Yuonuo	²¹	阳入	阳入	
ZaoMin	Zao Min	⁴⁴	阴平.阳上.阴入.*阴平	阴平.阳上.阴入	*阴平漢語借詞
ZaoMin	Zao Min	⁵³	阳平.*去	阳平	*去漢語借詞
ZaoMin	Zao Min	²⁴	阴上.*阳平	阴上	*阳平漢語借詞
ZaoMin	Zao Min	⁴²	阴去.*上	阴去	*上漢語借詞
ZaoMin	Zao Min	²²	阳去.阳入	阳去.阳入	
