Grapheme	IPA	SCA	FREQUENCY	EXAMPLES
^	NULL		2	"ⁿsʰõ¹³;ⁿsʰi²⁴"
$	NULL		40	"la⁰³ŋ̩³¹³tsɿ⁰³;qa⁰³ŋ̩¹³;ŋ̩³¹goːŋ⁵³;la⁰⁴ŋ²²;ŋ̩³³ʔaŋ³⁵"
,	NULL		0	
^ʔ⁰²	NULL		1	ʔ⁰²zaŋ²⁴ntuŋ²⁴
^i$	i	I	0	
^m$	m	M	0	
^n$	n	N	0	
^t$	t	T	0	
^o$	o	U	0	
^wje²³¹$	wj/ɥ e ²¹³	J E 6	1	wje²³¹
^ŋ̥a³¹³$	ŋ a ³¹³	N A 6	1	ŋ̥a³¹³
^ŋ̥u⁵⁵$	ŋ u ⁵⁵	N Y 5	1	ŋ̥u⁵⁵
^diːu³³$	d iːu ³³	T I 4	1	diːu³³
^fŋ¹³$	f */ə ŋ ¹³	B E N 2	2	"fŋ¹³;fŋ¹³"
^tsan$	ts a n ⁰	C A N 6	1	tsan
^xut$	x u t ⁰	G Y T 6	1	xut
^ʔŋ¹³$	ʔ */ə ŋ ¹³	H E N 2	1	ʔŋ¹³
^ʔŋ⁴⁴$	ʔ */ə ŋ ⁴⁴	H E N 5	1	ʔŋ⁴⁴
^hŋ³¹³$	h */ə ŋ ³¹³	H E N 6	0	
^huai²⁴$	h u/w ai ²⁴	H W A 2	1	huai²⁴
^guːŋ$	g uː ŋ ⁰	K Y N 6	0	
^m̩²⁴$	m */ə m̩/m ²⁴	M E M 2	1	m̩²⁴
^m̥m³⁵$	m̥ */ə m̩/m ³⁵	M E M 2	0	
^m̩²¹$	m */ə m̩/m ²¹	M E M 3	0	
^m̩³¹$	m */ə m̩/m ³¹	M E M 3	3	"m̩³¹;m̩³¹;m̩³¹"
^m̩⁴²$	m */ə m̩/m ⁴²	M E M 3	1	m̩⁴²
^m̩⁵³$	m */ə m̩/m ⁵³	M E M 3	2	"m̩⁵³;m̩⁵³"
^m̩³³$	m */ə m̩/m ³³	M E M 4	0	
^m̩⁴⁴$	m */ə m̩/m ⁴⁴	M E M 5	1	m̩⁴⁴
^m̩⁵⁵$	m */ə m̩/m ⁵⁵	M E M 5	2	"m̩⁵⁵;m̩⁵⁵"
^ŋ̩²²$	ŋ */ə ŋ̍ ²²	N E N 1	1	ŋ̩²²
^ŋ̩¹¹$	ŋ̍ */ə ŋ ¹¹	N E N 1	3	"ŋ̩¹¹;ŋ̩¹¹;ŋ̩¹¹"
^ŋ̥ŋ²²$	ŋ̊ */ə ŋ ²²	N E N 1	1	ŋ̥ŋ²²
^n̩³⁵$	n */ə n̩/n ³⁵	N E N 2	1	n̩³⁵
^n̩¹³$	n */ə n̩/n ¹³	N E N 2	1	n̩¹³
^ŋ̩²⁴$	ŋ */ə ŋ̍ ²⁴	N E N 2	1	ŋ̩²⁴
^ŋ̩³⁵$	ŋ */ə ŋ̍ ³⁵	N E N 2	1	ŋ̩³⁵
^ŋ̩¹³$	ŋ */ə ŋ̍ ¹³	N E N 2	1	ŋ̩¹³
^ŋ̥ŋ²⁴$	ŋ̊ */ə ŋ ²⁴	N E N 2	1	ŋ̥ŋ²⁴
