NUMBER	CHINESE	GLOSS	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS	TYPO	Huang-1992-1800	GLOSS (can be edit)	Huang_book_Chinese	Huang_book_English	Category	TBL_ID	TBL_ENGLISH	TBL_CHINESE	TBL_CONCEPTICON_ID	TBL_CONCEPTICON_GLOSS	TBL_POS	TBL_EVARS	TBL_CVARS
Chen-2013-888-51	哑巴	a mute	583	1666	MUTE		211	a mute	哑巴	a mute	人物称谓	Huang-1992-1820-211	mute (female) (note:+female)	哑巴 ((女)~)	1492	DUMB	n		
Chen-2013-888-52	孤儿	orphan	584	1149	ORPHAN		252	orphan	孤儿	orphan	人物称谓	Huang-1992-1820-252	orphan	孤儿	1149	ORPHAN	n		
Chen-2013-888-53	独子	the only son	584				0				人物称谓								
Chen-2013-888-54	客人	guest	584	1782	GUEST		213	guest	客人	guest	人物称谓	Huang-1992-1820-213	guest	客人	1782	GUEST	n		
Chen-2013-888-55	朋友	friend	585	1325	FRIEND		201	friend	朋友	friend	人物称谓	Huang-1992-1820-201	friend (male-to-male) (note:+male-male)	朋友 ((男朋友互称))	1325	FRIEND	n		
Chen-2013-888-56	木匠	carpenter	585	1042	CARPENTER		185	carpenter	木匠	carpenter	人物称谓	Huang-1992-1820-185	carpenter	木匠	1042	CARPENTER	n		
Chen-2013-888-57	贼	thief	585	1160	THIEF		194	thief	贼	thief	人物称谓								
Chen-2013-888-58	名字	name	586	1405	NAME		687	name	名字	name	宗教意识	Huang-1992-1820-687	name	名字	1405	NAME	n		
Chen-2013-888-59	年纪	age	586	1789	AGE		685	age	年纪	age	宗教意识	Huang-1992-1820-685	age	年纪	1789	AGE	n		
Chen-2013-888-60	影子	shadow	586	1388	SHADE		698	shadow	影子	shadow	宗教意识	Huang-1992-1820-698	shadow	影子	1388	SHADE	n		
Chen-2013-888-61	力气	physical strength	587	202	STRENGTH		675	physical strength	力气	physical strength	宗教意识	Huang-1992-1820-675	strength (physical)	力气	202	STRENGTH	n		
Chen-2013-888-62	鬼	ghost/ spirit	587	1175	GHOST		669	ghost/ spirit	鬼	ghost/ spirit	宗教意识	Huang-1992-1820-669	ghost / spirit	鬼	1175	GHOST	n		
Chen-2013-888-63	祖父	grandfather	587	1383	GRANDFATHER		216	grandfather (address) (note:+address)	爷爷	grandfather	人物称谓								
