NUMBER	GLOSS	English
Chen-2013-888-1	天	
Chen-2013-888-2	太阳	
Chen-2013-888-3	月亮	
Chen-2013-888-4	星星	
Chen-2013-888-5	云	
Chen-2013-888-6	虹	
Chen-2013-888-7	雷	
Chen-2013-888-8	闪	
Chen-2013-888-9	风	
Chen-2013-888-10	雨	
Chen-2013-888-11	雪	
Chen-2013-888-12	露水	
Chen-2013-888-13	霜	
Chen-2013-888-14	火	
Chen-2013-888-15	灰	
Chen-2013-888-16	烟	
Chen-2013-888-17	扬尘	
Chen-2013-888-18	地	
Chen-2013-888-19	山	
Chen-2013-888-20	洞	
Chen-2013-888-21	河	
Chen-2013-888-22	池塘	
Chen-2013-888-23	沟	
Chen-2013-888-24	井	
Chen-2013-888-25	路	
Chen-2013-888-26	水田	
Chen-2013-888-27	旱地	
Chen-2013-888-28	石头	
Chen-2013-888-29	沙子	
Chen-2013-888-30	泥巴	
Chen-2013-888-31	水	
Chen-2013-888-32	铁	
Chen-2013-888-33	煤	
Chen-2013-888-34	村寨	
Chen-2013-888-35	集市	
Chen-2013-888-36	桥	
Chen-2013-888-37	坟墓	
Chen-2013-888-38	菜园	
Chen-2013-888-39	篱笆	
Chen-2013-888-40	人	
Chen-2013-888-41	汉族	
Chen-2013-888-42	族称	
Chen-2013-888-43	小孩	
Chen-2013-888-44	老头儿	
Chen-2013-888-45	老太太	
Chen-2013-888-46	姑娘	
Chen-2013-888-47	瞎子	
Chen-2013-888-48	跛子	
Chen-2013-888-49	聋子	
Chen-2013-888-50	麻子	
Chen-2013-888-51	哑巴	
Chen-2013-888-52	孤儿	
Chen-2013-888-53	独子	
Chen-2013-888-54	客人	
Chen-2013-888-55	朋友	
Chen-2013-888-56	木匠	
Chen-2013-888-57	贼	
Chen-2013-888-58	名字	
Chen-2013-888-59	年纪	
Chen-2013-888-60	影子	
Chen-2013-888-61	力气	
Chen-2013-888-62	鬼	
Chen-2013-888-63	祖父	
Chen-2013-888-64	祖母	
Chen-2013-888-65	父亲	
Chen-2013-888-66	母亲	
Chen-2013-888-67	儿子	
Chen-2013-888-68	儿媳	
Chen-2013-888-69	女儿	
Chen-2013-888-70	女婿	
Chen-2013-888-71	孙子	
Chen-2013-888-72	哥哥	
Chen-2013-888-73	姐姐	
Chen-2013-888-74	弟弟	
Chen-2013-888-75	妹妹	
Chen-2013-888-76	嫂子	
Chen-2013-888-77	舅父	
Chen-2013-888-78	舅母	
Chen-2013-888-79	丈夫	
